date,shown,clicked,converted,total_spend,ad
10/1/15,65877,2339,43,2105.1,ad_group_1
10/2/15,65100,2498,38,2348.12,ad_group_1
10/3/15,70658,2313,49,1989.18,ad_group_1
10/4/15,69809,2833,51,2861.33,ad_group_1
10/5/15,68186,2696,41,2696,ad_group_1
10/6/15,66864,2617,46,2564.66,ad_group_1
10/7/15,68227,2390,42,2246.6,ad_group_1
10/8/15,68520,2909,46,3112.63,ad_group_1
10/9/15,67250,2385,49,2098.8,ad_group_1
10/10/15,67873,2614,42,2431.02,ad_group_1
10/11/15,66747,2296,50,1997.52,ad_group_1
10/12/15,72211,2886,51,2799.42,ad_group_1
10/13/15,71101,3335,50,3801.9,ad_group_1
10/14/15,75676,2885,54,2769.6,ad_group_1
10/15/15,70274,2236,51,1811.16,ad_group_1
10/16/15,72223,2765,45,2654.4,ad_group_1
10/17/15,68489,3221,42,3607.52,ad_group_1
10/18/15,70423,2598,62,2468.1,ad_group_1
10/19/15,67222,2693,47,2612.21,ad_group_1
10/20/15,72393,2903,44,2873.97,ad_group_1
10/21/15,69372,2677,51,2596.69,ad_group_1
10/22/15,66850,2349,46,2067.12,ad_group_1
10/23/15,67967,2716,46,2607.36,ad_group_1
10/24/15,63166,2458,47,2359.68,ad_group_1
10/25/15,64943,2619,40,2776.14,ad_group_1
10/26/15,69240,2379,47,2117.31,ad_group_1
10/27/15,70721,2856,49,2770.32,ad_group_1
10/28/15,68030,3035,50,3277.8,ad_group_1
10/29/15,67087,2829,55,2857.29,ad_group_1
10/30/15,64381,2464,45,2365.44,ad_group_1
10/31/15,67336,2598,48,2520.06,ad_group_1
11/1/15,65199,2433,44,2311.35,ad_group_1
11/2/15,67780,2487,49,2312.91,ad_group_1
11/3/15,71552,2477,50,2229.3,ad_group_1
11/4/15,70256,2888,42,2888,ad_group_1
11/5/15,67618,2549,44,2447.04,ad_group_1
11/6/15,65356,2411,51,2242.23,ad_group_1
11/7/15,72183,2414,42,2051.9,ad_group_1
11/8/15,71716,3191,49,3478.19,ad_group_1
11/9/15,70231,2703,47,2594.88,ad_group_1
11/10/15,69090,2546,52,2367.78,ad_group_1
11/11/15,70656,2967,44,3115.35,ad_group_1
11/12/15,69647,2375,52,2066.25,ad_group_1
11/13/15,72939,2992,47,3051.84,ad_group_1
11/14/15,69212,2883,53,2911.83,ad_group_1
11/15/15,74549,2961,42,2961,ad_group_1
11/16/15,72724,3042,44,3072.42,ad_group_1
11/17/15,71322,2577,46,2370.84,ad_group_1
11/18/15,67866,3058,40,3333.22,ad_group_1
11/19/15,72607,2999,50,2999,ad_group_1
11/20/15,68974,3005,47,3245.4,ad_group_1
11/21/15,73793,2953,49,2923.47,ad_group_1
11/22/15,75829,3106,46,3043.88,ad_group_1
10/1/15,50988,1267,109,886.9,ad_group_2
10/2/15,51934,1035,140,600.3,ad_group_2
10/3/15,53386,1041,123,582.96,ad_group_2
10/4/15,52008,1521,127,1155.96,ad_group_2
10/5/15,48766,1153,108,749.45,ad_group_2
10/6/15,53933,1331,136,918.39,ad_group_2
10/7/15,51941,1235,118,827.45,ad_group_2
10/8/15,50748,1048,123,618.32,ad_group_2
10/9/15,50312,1066,125,650.26,ad_group_2
10/10/15,53533,1075,119,645,ad_group_2
10/11/15,47941,1101,118,715.65,ad_group_2
10/12/15,53353,1423,127,996.1,ad_group_2
10/13/15,49002,1158,114,764.28,ad_group_2
10/14/15,50939,1029,119,586.53,ad_group_2
10/15/15,48257,1205,123,807.35,ad_group_2
10/16/15,52733,1330,113,864.5,ad_group_2
10/17/15,49110,1071,121,696.15,ad_group_2
10/18/15,55660,1641,141,1279.98,ad_group_2
10/19/15,50216,1010,111,585.8,ad_group_2
10/20/15,49984,1000,129,600,ad_group_2
10/21/15,51055,960,112,547.2,ad_group_2
10/22/15,51654,1146,118,710.52,ad_group_2
10/23/15,53604,1191,122,714.6,ad_group_2
10/24/15,48302,1154,94,750.1,ad_group_2
10/25/15,48399,1061,113,668.43,ad_group_2
10/26/15,52221,1213,134,800.58,ad_group_2
10/27/15,49410,1029,118,607.11,ad_group_2
10/28/15,51993,1083,101,617.31,ad_group_2
10/29/15,50675,1335,119,921.15,ad_group_2
10/30/15,50290,1031,122,587.67,ad_group_2
10/31/15,53007,1155,110,727.65,ad_group_2
11/1/15,47468,1217,101,839.73,ad_group_2
11/2/15,53939,1306,113,875.02,ad_group_2
11/3/15,50997,1107,111,664.2,ad_group_2
11/4/15,49060,847,103,431.97,ad_group_2
11/5/15,51693,1292,113,865.64,ad_group_2
11/6/15,49667,908,97,499.4,ad_group_2
11/7/15,52022,1476,118,1092.24,ad_group_2
11/8/15,52982,1334,114,907.12,ad_group_2
11/9/15,50647,888,103,488.4,ad_group_2
11/10/15,49352,1022,111,613.2,ad_group_2
11/11/15,48553,1268,106,887.6,ad_group_2
11/12/15,53666,1068,127,630.12,ad_group_2
11/13/15,52435,1488,131,1130.88,ad_group_2
11/14/15,48691,1301,115,871.67,ad_group_2
11/15/15,54047,1183,121,721.63,ad_group_2
11/16/15,47593,929,123,538.82,ad_group_2
