obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur
ECU-1869,3539f318-3bbd-11e5-afeb-eb6f07f9fec7,130,ECU,Gabriel García Moreno,1869-01-19,1875-08-06,Irregular,Irregular,Unknown,0,Death,M,1821,1875,1821-12-24,1875-08-06,http://dbpedia.org/resource/Gabriel_Garc%C3%ADa_Moreno,1,3,-999,3,NA,NA
HAI-1874,81df6d19-1e42-11e4-b4cd-db5882bf8def,41,HAI,Rameau,1874-06-11,1876-04-15,Irregular,Irregular,"Removed by Military, without Foreign Support",0,Death,M,1828,1876,NA,1876-04-15,NA,1,3,6,3,NA,NA
LBR-1872,197863a8-3bbd-11e5-afeb-eb6f07f9fec7,450,LBR,Joseph Jenkins Roberts,1872-01-01,1875-06-27,Irregular,Retired Due to Ill Health,Regular,1,OK,M,1809,1876,NA,NA,http://dbpedia.org/resource/Joseph_Jenkins_Roberts,1,2.1,0,0,NA,NA
TUR-1861,823ce4cd-1e42-11e4-b4cd-db5882bf8def,640,TUR,Abdul Aziz,1861-06-25,1876-05-30,Regular,Irregular,Unknown,0,Death,M,1830,1876,NA,1876-06-04,NA,0,3,-999,3,NA,NA
PAR-1874,81fe84c0-1e42-11e4-b4cd-db5882bf8def,150,PAR,Gill,1874-11-25,1877-04-12,Irregular,Irregular,Unknown,0,Death,M,1840,1877,NA,NA,http://dbpedia.org/resource/Juan_Bautista_Gill,1,3,-999,3,NA,NA
CHL-1871,81ffda8d-1e42-11e4-b4cd-db5882bf8def,155,CHL,F.  Errazuriz Zanartu,1871-09-18,1876-09-18,Regular,Regular,Regular,0,OK,M,1825,1877,1825-04-25,NA,http://dbpedia.org/resource/Federico_Err%C3%A1zuriz_Za%C3%B1artu,0,1,0,0,Father of F. Errazuriz Echaurren%82000b61-1e42-11e4-b4cd-db5882bf8def,0
NEP-1846,8249dd62-1e42-11e4-b4cd-db5882bf8def,790,NEP,Jang Bahadur Kunwar,1846-09-17,1877-02-25,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1817,1877,1817-06-18,1877-02-25,NA,0,2,0,-777,NA,NA
DOM-1876-2,81e0f3c2-1e42-11e4-b4cd-db5882bf8def,42,DOM,Espaillat,1876-04-29,1876-10-05,Irregular,Irregular,Unknown,0,Exile,M,1823,1878,NA,NA,NA,1,3,-999,1,NA,NA
VEN-1877-2,81f52bf9-1e42-11e4-b4cd-db5882bf8def,101,VEN,Linares Alcantara,1877-03-02,1878-11-20,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1825,1878,NA,1878-11-30,http://dbpedia.org/resource/Francisco_Linares_Alc%C3%A1ntara,0,2,0,-777,NA,NA
PER-1872,81f89af9-1e42-11e4-b4cd-db5882bf8def,135,PER,Pardo,1872-08-02,1876-08-02,Regular,Regular,Regular,0,Exile,M,1834,1878,NA,NA,http://dbpedia.org/resource/Manuel_Pardo,0,1,0,1,Father of Pardo y Barreda%81f95e44-1e42-11e4-b4cd-db5882bf8def,0
SWZ-1875,820d967e-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Scherer,1875-01-01,1875-12-31,Regular,Regular,Regular,0,OK,M,1825,1878,NA,NA,NA,0,1,0,0,NA,NA
MYA-1853,82491a13-1e42-11e4-b4cd-db5882bf8def,775,MYA,Mindon Min,1853-02-18,1878-10-01,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1808,1878,1808-07-08,1878-10-01,NA,1,2,0,-777,NA,NA
SWZ-1877,820d967f-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Heer,1877-01-01,1877-12-31,Regular,Regular,Regular,0,OK,M,1825,1879,1825-09-25,NA,NA,0,1,0,0,NA,NA
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,1868-09-08,1879-02-21,Irregular,Regular,Regular,1,Exile,M,1825,1879,NA,1879-02-21,NA,1,1,0,1,NA,NA
PAR-1878,81fe84c2-1e42-11e4-b4cd-db5882bf8def,150,PAR,Barreiro,1878-11-27,1880-09-04,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1833,1880,NA,NA,NA,0,2,0,-777,NA,NA
